ident,type,name,latitude_deg,longitude_deg,iata_code
ID-0166,small_airport,Yigi Airstrip,-4.228468,138.393778,
ID-0167,small_airport,Yogosem Airstrip,-4.247695,139.168977,
ID-0168,small_airport,Alama Airstrip,-4.2631,137.892387,
ID-0171,small_airport,Aideralma Airstrip,-4.3341,137.8316,
ID-0172,small_airport,Enggano Airport,-5.305621,102.189546,ENG
ID-0173,small_airport,Apouwo Airstrip,-4.063248,135.560018,
ID-0174,small_airport,Aurimi Wzil Airstrip,-2.182027,138.434418,
ID-0175,small_airport,Bareri Airport,-2.981631,137.783613,
ID-0176,small_airport,Bari Airport,-3.959166,139.901563,
ID-0177,small_airport,Basiem Airport,-6.058573,138.383542,
ID-0178,small_airport,Awimbon Airstrip,-5.165884,140.381568,
ID-0179,small_airport,Anik Airstrip,0.537465,109.742062,
ID-0180,small_airport,Yaosakor Airstrip,-5.603899,138.46525,
ID-0181,small_airport,Weda Bay Airport,0.467938,127.948242,WDB
ID-0186,small_airport,Salakanagara Tanjun Lesung Airport,-6.49155,105.66967,
ID-0190,small_airport,Sorake Airport,0.58884,97.71899,
ID-0191,small_airport,Tambling Airport,-5.92113,104.55816,
ID-0193,small_airport,Kubibkop Airport,-4.79436,140.69447,
ID-0194,small_airport,Korowai Batu Danowage Airport,-5.2127,140.017582,
ID-0195,small_airport,Molding Airstrip,-4.891004,140.74213,
ID-0196,small_airport,Tarup Airstrip,-5.097671,140.821627,
ID-0197,small_airport,Tinibil Airstrip,-4.824475,140.87378,
ID-0198,small_airport,Denom Airstrip,-5.144915,140.967065,
ID-0199,small_airport,Okbab Airstrip,-4.586015,140.499844,
ID-0200,small_airport,Alemson Airstrip,-4.816571,140.222819,
ID-0201,small_airport,Kotyobakon Airstrip,-4.638376,140.654907,
ID-0202,small_airport,Mipol Airstrip,-4.605771,140.634806,
ID-0203,small_airport,Binban Airstrip,-4.585309,140.533962,
ID-0204,small_airport,Kaklup Airstrip,-4.620771,140.531688,
ID-0205,small_airport,Maksum Airstrip,-4.58066,140.515995,
ID-0206,small_airport,Maksum Airstrip,-4.632613,140.497466,
ID-0207,small_airport,Pedam Airstrip,-4.539485,140.462018,
ID-0208,small_airport,Dumpasik Airstrip,-4.455194,140.508871,
ID-0209,small_airport,Bordamban Airport,-4.439924,140.484527,
ID-0210,small_airport,Kirimu Airstrip,-4.464786,140.393016,
ID-0211,small_airport,Hangmata Airstrip,-4.49226,140.657322,
ID-0214,small_airport,Blangkejeren Airport,3.94548,97.35968,GYO
ID-0215,small_airport,Bobkamu Airstrip,-4.463818,140.262414,
ID-0216,small_airport,Weime Airstrip,-4.354141,140.260381,
ID-0217,small_airport,Tumdungbon Airstrip,-5.179406,140.520099,
ID-0218,small_airport,Kawor Airstrip,-5.232712,140.519992,
ID-0219,small_airport,Dewok Airport,-5.278326,140.681963,
ID-0220,small_airport,Manggelum Airport,-5.416371,140.436231,
ID-0222,small_airport,Begowre Airstrip,-2.982106,140.925279,
ID-0223,small_airport,Ideduna Airstrip,-3.961954,135.482025,
ID-0224,small_airport,Bias Airstrip,-3.999569,140.82041,
ID-0225,small_airport,Walibaru Airstrip,-5.39973,140.198652,
ID-0226,small_airport,Taria Airstrip,-3.410527,138.895308,
ID-0227,small_airport,Dadou Airstrip,-3.686435,136.063217,
ID-0228,small_airport,Daboto Airstrip,-3.295335,136.408213,
ID-0229,small_airport,Zotadi Airstrip,-3.67449,136.56833,
ID-0230,small_airport,Pagamba Airstrip,-3.64307,136.67854,
ID-0233,small_airport,Supugi Airstrip,-4.328303,139.098995,
ID-0237,small_airport,Grati Airport,-7.67253,113.03682,
ID-0242,small_airport,Citeurup Paraglider Airport,-6.50814,106.87836,
ID-0243,small_airport,Lido Airstrip,-6.75333,106.81171,
ID-0244,small_airport,Cikembar Airport,-6.96924,106.78866,
ID-0246,small_airport,Asua Airport,-4.686881,140.789845,
ID-0247,small_airport,Mewengde Airstrip,-4.820969,140.237545,
ID-0248,small_airport,Eragayam Airport,-3.733891,138.747881,
ID-0249,small_airport,Mamit Airstrip,-3.589005,138.396857,
ID-0250,small_airport,Yobesorum Airstrip,-4.285211,140.026433,
ID-0251,small_airport,Bolakna Airstrip,-4.23424,140.000619,
ID-0255,small_airport,Baya Biru Airport,-3.618606,136.267033,
ID-0256,small_airport,Supleyu Airstrip,-4.43285,140.16682,
ID-0257,small_airport,Tanime Airstrip,-4.45145,140.13042,
ID-0258,small_airport,Suaka Airstrip,-4.464786,140.099008,
ID-0259,small_airport,Eipomek Airstrip,-4.45584,140.02531,
ID-0260,small_airport,Famek Airstrip,-4.425722,140.021954,
ID-0261,small_airport,Soya Airstrip,-4.37183,139.91673,
ID-0262,small_airport,Aksal Airstrip,-4.34395,139.88754,
ID-0263,small_airport,Kalbok Airstrip,-4.30181,139.80474,
ID-0264,small_airport,Kono Airstrip,-4.275717,139.735893,
ID-0265,small_airport,Trison Airstrip,-4.26309,139.68456,
ID-0266,small_airport,Fenteheik Airstrip,-4.21977,139.41273,
ID-0267,small_airport,Pasikni Airstrip,-4.216844,139.424413,
ID-0268,small_airport,Asotipo Airstrip,-4.17695,138.99303,
ID-0269,small_airport,Basir Airstrip,-4.372814,140.69684,
ID-0270,small_airport,Milki Airstrip,-4.097372,140.711331,
ID-0271,small_airport,Dulis Airstrip,-4.077257,140.661553,
ID-0273,small_airport,Marimoi Airport,1.101312,127.702467,
ID-0277,medium_airport,Dhoho International Airport,-7.749527,111.946831,DHX
ID-0278,small_airport,Yabirik Airstripe,-4.455186,138.823079,
ID-0279,small_airport,Helariki Airstrip,-4.176059,139.439353,
ID-0280,small_airport,Samenage Airstrip,-4.395446,139.030167,
ID-0281,small_airport,Wakbisik Airstrip,-4.349896,139.211615,
ID-0282,small_airport,Owitlep Airstrip,-4.314543,139.329624,
ID-0284,small_airport,Pusako Anak Nagariu Airport,0.076713,99.783846,
ID-0285,small_airport,Tempuling Airport,-0.427165,102.996126,
ID-0288,small_airport,Siboru Airport,-2.928056,132.089447,
ID-0290,small_airport,Singkawang Airport,0.789936,108.960395,SKJ
ID-0292,small_airport,Bela Airstrip,-4.250278,137.850278,
ID-0295,small_airport,Sungai Nusa Airstrip,-2.09842,112.2532,
ID-0296,small_airport,Kantor Besar Lengadang Estate Airstrip,-2.2618,112.11646,
ID-0297,small_airport,Nahiyang Estate Airstrip,-2.26711,112.19835,
ID-0298,small_airport,Batu Manangis Airport,-2.15009,112.26928,
ID-0299,small_airport,Tembelina Airstrip,-1.7484,110.47658,
ID-0300,small_airport,Manis Mata Airstrip,-2.46441,110.96529,
ID-0303,small_airport,Mbugulo Airstrip,-3.70788,136.74285,
ID-0317,small_airport,Jati Papak Airstrip,-8.54091,114.3755,
ID-0324,small_airport,Yuruf Airport [UNUSABLE],-3.628919,140.953689,RUF
ID-0339,medium_airport,Old Nabire Airport,-3.368586,135.496702,
ID-0340,medium_airport,Tabing Airport,-0.874989,100.351997,
ID-0341,medium_airport,Susilo Airport,0.063851,111.473572,
ID-0342,small_airport,Helvetia Airport,3.68306,98.644203,
ID-0345,small_airport,Tebing Tinggi Airport,3.366667,99.116669,
ID-0351,small_airport,Sumbawa Barat Airport,-8.99519,116.7444,
ID-0352,small_airport,Bukit Mulia Airport,-3.79107,115.29557,
ID-0353,small_airport,Kintap Airport,-3.8244,115.1825,
ID-0359,small_airport,Tomboki Airstrip,-4.2295,139.45225,
ID-0360,small_airport,Nisikni Airstrip,-4.24745,139.47418,
ID-0361,small_airport,Menou Airstrip,-3.86487,135.51802,
ID-0362,small_airport,Apogomakida Airstrip,-4.00453,135.49515,
ID-0364,small_airport,Uetangko Airstrip,-1.283333,121.8,
ID-0369,small_airport,Wari Airport,-3.294914,138.462961,
ID-0370,small_airport,Balinggama Airstrip,-4.348044,139.319022,
ID-0371,small_airport,Kweapbel Airstrip,-4.380903,138.684517,
ID-0372,small_airport,Gingginem Airstrip,-4.41147,138.6815,
ID-0373,small_airport,Bikgunulingge Airstrip,-4.431974,138.666689,
ID-0374,small_airport,Bina Airstrip,-3.706185,137.728514,
ID-0375,small_airport,Ipdeheik Airstrip,-4.377306,139.319633,
ID-0376,small_airport,Eyub Airstrip,-4.534076,139.766729,
ID-0377,small_airport,Paima Airstrip,-4.456555,139.159859,
ID-0378,small_airport,Amuma Airstrip,-4.473639,138.986646,
ID-0379,small_airport,Lolat Airport,-4.487786,139.438915,
ID-0380,small_airport,Aniek Airstrip,-4.441464,139.309477,
ID-0381,small_airport,Molof Airstrip,-3.41504,140.551965,
ID-0382,small_airport,Wetar Island Airport,-7.692954,126.305672,
ID-0383,small_airport,Langsa Airstrip,4.529838,98.023752,
ID-0385,small_airport,Dagi Baru Airstrip,-4.530773,139.627377,
ID-0386,small_airport,Hogio Airstrip,-4.428133,139.135677,
ID-0387,small_airport,Kemligin Airstrip,-4.565714,139.662389,
ID-0388,small_airport,Duram Airport,-4.473184,139.618372,
ID-0389,small_airport,Scholuna Airstrip,-4.381769,139.41539,
ID-0390,small_airport,Bisek Airstrip,-4.350767,139.249926,
ID-0391,small_airport,Una Airstrip,-4.424223,139.299399,
ID-0392,small_airport,Liruk Airstrip,-4.373789,139.280469,
ID-0393,small_airport,Kosorek Airport,-4.127259,139.531326,
ID-0394,small_airport,Burumeso Airstrip,-2.353127,137.998064,
ID-0395,small_airport,Beoga Airstrip,-3.019129,137.2844,
ID-0397,small_airport,Kabare Airport,-0.05022,131.001631,
