destination,restaurant_name,rating,review_count,price_level,category,restaurant_url,latitude,longitude
danau toba,Maruba Restaurant,,,,,https://www.google.com/maps/place/Maruba+Restaurant/data=!4m7!3m6!1s0x3031ea180cf5d023:0x6ce91362f8d09389!8m2!3d2.6749925!4d98.857881!16s%2Fg%2F11bzrpb87z!19sChIJI9D1DBjqMTARiZPQ-GIT6Ww?authuser=0&hl=id&rclk=1,2.6108377,98.9023081
danau toba,Willem's Resto Cafe & Bar,,,,,https://www.google.com/maps/place/Willem%27s+Resto+Cafe+%26+Bar/data=!4m7!3m6!1s0x3031eb9211349d91:0x99b92f3bc3662a1b!8m2!3d2.6739055!4d98.8375076!16s%2Fg%2F11j_0t8lvf!19sChIJkZ00EZLrMTARGypmwzsvuZk?authuser=0&hl=id&rclk=1,2.6108377,98.9023081
danau toba,Today's Cafe,,,,,https://www.google.com/maps/place/Today%27s+Cafe/data=!4m7!3m6!1s0x3031ea20ef14ba5b:0x6c583bbe4d745e1!8m2!3d2.6689235!4d98.8600892!16s%2Fg%2F1tfh6zbg!19sChIJW7oU7yDqMTAR4UXX5LuDxQY?authuser=0&hl=id&rclk=1,2.6108377,98.9023081
borobudur,Caping Resto Borobudur,,,,,https://www.google.com/maps/place/Caping+Resto+Borobudur/data=!4m7!3m6!1s0x2e7a8db00372f811:0x80bf4f362a85f48f!8m2!3d-7.6147887!4d110.1915923!16s%2Fg%2F11lclz6f3k!19sChIJEfhyA7CNei4Rj_SFKjZPv4A?authuser=0&hl=id&rclk=1,-7.6147939,110.1914056
borobudur,Kedai Bukit Rhema,,,,,https://www.google.com/maps/place/Kedai+Bukit+Rhema/data=!4m7!3m6!1s0x2e7a8d043ee88385:0xca01a8a7bc84d8f!8m2!3d-7.6056792!4d110.1803617!16s%2Fg%2F11gf96yb0f!19sChIJhYPoPgSNei4Rj03Ie4oaoAw?authuser=0&hl=id&rclk=1,-7.6079583,110.2038245
borobudur,DWANU Resto Borobudur | DWANU eatery & artisan steak,,,,,https://www.google.com/maps/place/DWANU+Resto+Borobudur+%7C+DWANU+eatery+%26+artisan+steak/data=!4m7!3m6!1s0x2e7a8dd45dc4c2eb:0xb87a7053a1d60001!8m2!3d-7.6161838!4d110.2184006!16s%2Fg%2F11ss53pw8q!19sChIJ68LEXdSNei4RAQDWoVNwerg?authuser=0&hl=id&rclk=1,-7.6079583,110.2038245
borobudur,Enam Langit by Plataran,,,,,https://www.google.com/maps/place/Enam+Langit+by+Plataran/data=!4m7!3m6!1s0x2e7a8d5cd7c9f0a9:0xffa1500cf1249ad0!8m2!3d-7.6350116!4d110.2187796!16s%2Fg%2F11fm_m1_2s!19sChIJqfDJ11yNei4R0Jok8QxQof8?authuser=0&hl=id&rclk=1,-7.6079583,110.2038245
borobudur,Nalendro Cafe Borobudur,,,,,https://www.google.com/maps/place/Nalendro+Cafe+Borobudur/data=!4m10!3m9!1s0x2e7a8dec83def7cd:0xc7c9dba6d1c9f0b6!5m2!4m1!1i2!8m2!3d-7.6115331!4d110.1950012!16s%2Fg%2F11lk0gjbs9!19sChIJzffeg-yNei4RtvDJ0abbycc?authuser=0&hl=id&rclk=1,-7.6079583,110.2038245
borobudur,Stupa Restaurant,,,,,https://www.google.com/maps/place/Stupa+Restaurant/data=!4m7!3m6!1s0x2e7a8cfd03617c35:0x6390fb4b5e55a55b!8m2!3d-7.6070575!4d110.1904022!16s%2Fg%2F11bwh4mkr6!19sChIJNXxhA_2Mei4RW6VVXkv7kGM?authuser=0&hl=id&rclk=1,-7.6079583,110.2038245
borobudur,Restaurant La Table by Le Temple Borobudur,,,,,https://www.google.com/maps/place/Restaurant+La+Table+by+Le+Temple+Borobudur/data=!4m7!3m6!1s0x2e7a8d3d5f4c739b:0xb912843c74544100!8m2!3d-7.6088075!4d110.1965658!16s%2Fg%2F11jrw__q_h!19sChIJm3NMXz2Nei4RAEFUdDyEErk?authuser=0&hl=id&rclk=1,-7.6079583,110.2038245
borobudur,Menoreh Restaurant,,,,,https://www.google.com/maps/place/Menoreh+Restaurant/data=!4m7!3m6!1s0x2e7a8cfd0ec52753:0x3f1fd0eb56d99b9d!8m2!3d-7.6070946!4d110.1899722!16s%2Fg%2F11df0ghwy2!19sChIJUyfFDv2Mei4RnZvZVuvQHz8?authuser=0&hl=id&rclk=1,-7.6079583,110.2038245
bangka belitung,"ESENBI Cafe & Resto Pangkalpinang, Bangka",,,,,"https://www.google.com/maps/place/ESENBI+Cafe+%26+Resto+Pangkalpinang,+Bangka/data=!4m7!3m6!1s0x2e22b9af7425874d:0x4db9a9f1ac589a92!8m2!3d-2.1664611!4d106.1641552!16s%2Fg%2F11tmkc7d7w!19sChIJTYcldK-5Ii4RkppYrPGpuU0?authuser=0&hl=id&rclk=1",-2.7052886,106.3585607
bangka belitung,The Well Restaurant & Cafe Tanjung Pandan Belitung,,,,,https://www.google.com/maps/place/The+Well+Restaurant+%26+Cafe+Tanjung+Pandan+Belitung/data=!4m7!3m6!1s0x2e171518565d925d:0x90119f3cd908098b!8m2!3d-2.7076904!4d107.6248498!16s%2Fg%2F11px4xr690!19sChIJXZJdVhgVFy4RiwkI2TyfEZA?authuser=0&hl=id&rclk=1,-2.7052886,106.3585607
bangka belitung,Mie Koba Iskandar,,,,,https://www.google.com/maps/place/Mie+Koba+Iskandar/data=!4m7!3m6!1s0x2e22c0d887943fed:0x9c8db30c6349dabb!8m2!3d-2.124337!4d106.111697!16s%2Fg%2F11b764pwwg!19sChIJ7T-Uh9jAIi4Ru9pJYwyzjZw?authuser=0&hl=id&rclk=1,-2.7052886,106.3585607
bangka belitung,Restaurant Seafood Mr. Adox,,,,,https://www.google.com/maps/place/Restaurant+Seafood+Mr.+Adox/data=!4m7!3m6!1s0x2e22c74d93b7b305:0x93b242ad018db5a8!8m2!3d-2.1392896!4d106.1453094!16s%2Fg%2F11bzpnfgnb!19sChIJBbO3k03HIi4RqLWNAa1CspM?authuser=0&hl=id&rclk=1,-2.1393104,106.1452918
bangka belitung,Anggrek Cafe & Resto,,,,,https://www.google.com/maps/place/Anggrek+Cafe+%26+Resto/data=!4m7!3m6!1s0x2e22c7f4a5652125:0xc5c5be38e066026f!8m2!3d-2.1532664!4d106.1286272!16s%2Fg%2F11t531ng93!19sChIJJSFlpfTHIi4RbwJm4Di-xcU?authuser=0&hl=id&rclk=1,-2.7052886,106.3585607
bangka belitung,Restoran Dynasty,,,,,https://www.google.com/maps/place/Restoran+Dynasty/data=!4m7!3m6!1s0x2e17179b9ee31851:0x202d865bc8b07b13!8m2!3d-2.732581!4d107.6408699!16s%2Fg%2F11nnf4jj9r!19sChIJURjjnpsXFy4RE3uwyFuGLSA?authuser=0&hl=id&rclk=1,-2.7052886,106.3585607
bangka belitung,Dapoer Belitong,,,,,https://www.google.com/maps/place/Dapoer+Belitong/data=!4m7!3m6!1s0x2e171669ad684271:0xa3bb66a634452443!8m2!3d-2.7588778!4d107.746877!16s%2Fg%2F11bxgm516n!19sChIJcUJorWkWFy4RQyRFNKZmu6M?authuser=0&hl=id&rclk=1,-2.7052886,106.3585607
bangka belitung,Pandan House Restaurant,,,,,https://www.google.com/maps/place/Pandan+House+Restaurant/data=!4m7!3m6!1s0x2e173e01eb87033b:0x4b4d5c2ae692612d!8m2!3d-2.720007!4d107.6711514!16s%2Fg%2F11c0vxvls_!19sChIJOwOH6wE-Fy4RLWGS5ipcTUs?authuser=0&hl=id&rclk=1,-2.719885,107.671026
