Wilayah,Nama_Pelabuhan,Latitude,Longitude
Sulawesi Tenggara,Siompu,-5.62616,122.5265984
Sulawesi Tenggara,Pelabuhan ferry Raha (Baru),-4.8607793,122.7358998
Sulawesi Tenggara,Pelabuhan Wawonii,-3.9715215,122.5789083
Sulawesi Tenggara,Pelabuhan ferry Tomia,-5.7347881,123.8919561
Sulawesi Tenggara,Pelabuhan Tanpa Nama,-5.5133167,122.8447641
Sulawesi Tenggara,Pelabuhan Tanpa Nama,-3.9735831,122.5876699
Sulawesi Tenggara,Pelabuhan Ferry Kamaru,-5.1772782,123.0693119
Sulawesi Tenggara,Baubau,-5.452479,122.603579
Sulawesi Tenggara,Pelabuhan Kaledupa,-5.508014,123.7708919
Sulawesi Tenggara,Pelabuhan ferry Binongko,-5.9111526,123.9767307
Sulawesi Tenggara,Pelabuhan Bungkutoko Kendari,-3.9740591,122.6110041
Kepulauan Bangka Belitung,Pelabuhan Mendo,-2.1629504,105.8801476
Kepulauan Bangka Belitung,Sadai,-3.0051339,106.7397107
Kepulauan Bangka Belitung,Pelabuhan Belinyu,-1.62997,105.7329065
Kepulauan Bangka Belitung,Tanjung Kalian (Muntok),-2.0849396,105.1335622
Kepulauan Bangka Belitung,Passengers Terminal,-2.0854001,105.1325145
Kepulauan Bangka Belitung,Pelabuhan Tanpa Nama,-3.0178939,106.7899432
Kepulauan Bangka Belitung,Tanjung Pandan (Belitung),-2.7462036,107.6284833
Kepulauan Bangka Belitung,Pelabuhan Tanpa Nama,-2.7833784,107.6051774
Kepulauan Bangka Belitung,Pelabuhan Tanpa Nama,-2.7836645,107.602229
Kepulauan Bangka Belitung,Tanjung Rhu,-2.9367079,107.529701
Kepulauan Bangka Belitung,Pangkalpinang,-2.0977384,106.1296663
Kepulauan Bangka Belitung,Pelabuhan Tangjung Gudang Belinyu,-1.6299674,105.7328158
Kepulauan Bangka Belitung,Pelabuhan Tanjung Batu,-2.8871839,107.5484884
Kepulauan Bangka Belitung,Manggar,-2.8473709,108.2897662
Kepulauan Bangka Belitung,Sadai,-3.004605,106.7381208
Sulawesi Utara,Pelabuhan Tanpa Nama,1.4423861,125.199435
Sulawesi Utara,Pelabuhan ferry Bitung,1.4409877,125.2002036
Sulawesi Utara,Pelabuhan Tanpa Nama,1.5961419,124.7833547
Sulawesi Utara,Pelabuhan Tanpa Nama,1.6182621,124.7659038
Sulawesi Utara,Kahakitang,3.1750243,125.5185464
Sulawesi Utara,Pelabuhan Tanpa Nama,1.5952616,124.78119
Sulawesi Utara,Papindang,1.6323087,124.7173529
Sulawesi Utara,Dermaga Calaca alternatif,1.4982023,124.8423142
Sulawesi Utara,Manado,1.4961161,124.8386425
Sulawesi Utara,Pelabuhan Tanpa Nama,0.9076243,123.185936
Sulawesi Utara,Pelabuhan ferry Tagulandang,2.3694467,125.4172233
Sulawesi Utara,Talise,1.8290437,125.0765215
Sulawesi Utara,Pelabuhan ferry Likupang,1.6982585,125.0145279
Sulawesi Utara,Bunaken,1.5955812,124.779481
Sulawesi Utara,Miangas,5.5491704,126.5825335
Sulawesi Utara,Pelabuhan Tanpa Nama,1.4987466,124.8389889
Sulawesi Utara,Pelabuhan Bitung,1.4384948,125.1915552
Sulawesi Utara,Marore,4.7290039,125.4768367
Sulawesi Utara,Dermaga Calaca,1.4961636,124.8411404
Sulawesi Utara,Pelabuhan Tanpa Nama,1.4674598,124.8278551
Sulawesi Utara,Pelabuhan Tanpa Nama,1.4605359,124.77624
Sulawesi Utara,Dermaga Calaca,1.4964323,124.8410983
Sulawesi Utara,Lihunu,1.757425,125.1490297
Sulawesi Utara,Pelabuhan Rakyat Likupang,1.6734055,125.0618845
Sulawesi Utara,Sabora,1.7451789,125.1411787
Sulawesi Utara,Amurang,1.20014,124.5499203
Sulawesi Utara,Melonguane,3.9927145,126.6803319
Sulawesi Utara,Pananaru,3.4337046,125.5498741
Sulawesi Utara,Melonguane,3.9975882,126.6759446
Sulawesi Utara,Lirung,3.9400996,126.6948673
Sulawesi Utara,Miangas,5.5485582,126.5766432
Sulawesi Utara,Pelabuhan,0.4476662,124.4309417
Sulawesi Utara,Pelabuhan ferry Ulu Siau,2.7328193,125.4163102
Sulawesi Utara,Pelabuhan ferry Lembeh,1.4327386,125.2083835
Sulawesi Utara,Pelabuhan ferry Pehe Siau,2.7539549,125.3650192
Sulawesi Utara,Makalehi,2.7311219,125.1629827
Sulawesi Utara,Pelabuhan ferry Biaro,2.1269786,125.3643411
Sulawesi Utara,Pelabuhan Buhias,2.6757053,125.4522588
Sulawesi Utara,Kawaluso,4.2286575,125.3201704
Sulawesi Utara,Beo,4.2302477,126.7882313
Sulawesi Utara,Ganalo,4.4203396,126.8615435
Sulawesi Utara,Essang,4.4610305,126.7296269
Sulawesi Utara,Kakorotan,4.6337278,127.1539377
Sulawesi Utara,Karatung,4.7228272,127.0886175
Sulawesi Utara,Marampit,4.7310435,127.1306111
Sulawesi Utara,Kabaruan,3.815634,126.7443267
