DPP,IATA_Tujuan,Kota_Asal,Maskapai,Status
Tanjung Lesung & Kep. Seribu,CGK,Makassar,Lion Air,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Makassar,Lion Air,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Makassar,Lion Air,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Mumbai,IndiGo,Estimated 14:15
Tanjung Lesung & Kep. Seribu,CGK,Labuan Bajo,Citilink,Estimated 14:23
Tanjung Lesung & Kep. Seribu,CGK,Jayapura,Garuda Indonesia,Estimated 14:55
Tanjung Lesung & Kep. Seribu,CGK,Palangkaraya,Super Air Jet,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Denpasar,Citilink,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Yogyakarta,Garuda Indonesia,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Surabaya,Pelita Air,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Pekanbaru,Super Air Jet,Scheduled
Tanjung Lesung & Kep. Seribu,CGK,Banda Aceh,Pelita Air,Estimated 14:49
Tanjung Lesung & Kep. Seribu,CGK,Kuala Lumpur,Malaysia Airlines (Manchester United Livery),Scheduled
Borobudur,YIA,Jakarta,Garuda Indonesia,Landed 12:41
Borobudur,YIA,Denpasar,Garuda Indonesia,Estimated 12:46
Borobudur,YIA,Palangkaraya,Super Air Jet,Scheduled
Borobudur,YIA,Balikpapan,Lion Air,Scheduled
Borobudur,YIA,Jakarta,Batik Air,Scheduled
Borobudur,YIA,Makassar,Lion Air,Scheduled
Borobudur,YIA,Jakarta,Citilink,Scheduled
Borobudur,YIA,Denpasar,Super Air Jet,Scheduled
Borobudur,YIA,Palembang,Super Air Jet,Scheduled
Borobudur,YIA,Jakarta,Garuda Indonesia,Scheduled
Borobudur,YIA,Kuala Lumpur,AirAsia,Scheduled
Borobudur,YIA,Batam,Super Air Jet,Scheduled
Borobudur,YIA,Jakarta,TransNusa,Scheduled
Borobudur,YIA,Jakarta,Garuda Indonesia,Scheduled
Borobudur,YIA,Banjarmasin,Lion Air,Scheduled
Borobudur,YIA,Balikpapan,Super Air Jet,Scheduled
Borobudur,YIA,Jakarta,Sriwijaya Air,Scheduled
Borobudur,YIA,Makassar,Lion Air,Scheduled
Borobudur,YIA,Makassar,Lion Air,Scheduled
Borobudur,YIA,Jakarta,Batik Air,Scheduled
Borobudur,YIA,Jakarta,Batik Air,Scheduled
Borobudur,YIA,Jakarta,Citilink,Scheduled
Borobudur,YIA,Jakarta,Nam Air,Scheduled
Borobudur,YIA,Pontianak,Super Air Jet,Scheduled
Borobudur,YIA,Jakarta,Garuda Indonesia,Scheduled
Borobudur,YIA,Lombok,Super Air Jet,Scheduled
Borobudur,YIA,Jakarta,Batik Air,Scheduled
Borobudur,YIA,Banjarmasin,Super Air Jet,Scheduled
Borobudur,YIA,Balikpapan,Pelita Air,Scheduled
Borobudur,YIA,Balikpapan,Lion Air,Scheduled
Borobudur,YIA,Pekanbaru,Lion Air,Scheduled
Borobudur,YIA,Kuala Lumpur,Malaysia Airlines,Scheduled
Borobudur,YIA,Jakarta,Garuda Indonesia,Scheduled
Borobudur,YIA,Jakarta,Batik Air,Canceled
Borobudur,YIA,Singapore,Scoot,Scheduled
Borobudur,YIA,Makassar,Lion Air,Scheduled
Borobudur,YIA,Denpasar,Super Air Jet,Scheduled
Borobudur,YIA,Jakarta,Batik Air,Scheduled
Borobudur,YIA,Kuala Lumpur,AirAsia (100th Awesome Plane Livery),Scheduled
Borobudur,YIA,Jakarta,TransNusa,Scheduled
Borobudur,YIA,Jakarta,Garuda Indonesia,Scheduled
Borobudur,YIA,Denpasar,Garuda Indonesia,Scheduled
Borobudur,YIA,Balikpapan,Lion Air,Scheduled
Borobudur,YIA,Jakarta,Batik Air,Scheduled
Borobudur,YIA,Jakarta,Citilink,Scheduled
Borobudur,YIA,Denpasar,Super Air Jet,Scheduled
Borobudur,YIA,Palembang,Super Air Jet,Scheduled
Borobudur,YIA,Jakarta,Garuda Indonesia,Scheduled
Borobudur,YIA,Kuala Lumpur,AirAsia,Scheduled
Borobudur,YIA,Batam,Super Air Jet,Scheduled
Borobudur,YIA,Jakarta,TransNusa,Scheduled
Borobudur,YIA,Banjarmasin,Lion Air,Scheduled
Borobudur,YIA,Singapore,Scoot,Scheduled
Borobudur,YIA,Balikpapan,Super Air Jet,Scheduled
Borobudur,YIA,Makassar,Lion Air,Scheduled
Borobudur,YIA,Jakarta,Batik Air,Scheduled
Borobudur,YIA,Jakarta,Citilink,Scheduled
Borobudur,YIA,Jakarta,Nam Air,Scheduled
Borobudur,YIA,Medan,Lion Air,Scheduled
Borobudur,YIA,Pontianak,Super Air Jet,Scheduled
Borobudur,YIA,Jakarta,Garuda Indonesia,Scheduled
Bromo,MLG,Jakarta,Batik Air,Landed 12:36
Bromo,MLG,Jakarta,Batik Air,Scheduled
Bromo,MLG,Jakarta,Batik Air,Scheduled
Bromo,MLG,Jakarta,Batik Air,Canceled
Bromo,MLG,Jakarta,Citilink,Scheduled
Bromo,MLG,Jakarta,Batik Air,Canceled
Bromo,MLG,Jakarta,Batik Air,Scheduled
Mandalika,LOP,Jakarta,Garuda Indonesia,Estimated 14:01
Mandalika,LOP,Jakarta,Batik Air,Landed 13:42
Mandalika,LOP,Labuan Bajo,Wings Air,Estimated 13:47
Mandalika,LOP,Bima,Wings Air,Scheduled
Mandalika,LOP,Sumbawa Besar,Wings Air,Estimated 14:13
Mandalika,LOP,Blimbingsari,Wings Air,Scheduled
Mandalika,LOP,Makassar,Lion Air,Scheduled
Mandalika,LOP,Bima,Wings Air,Scheduled
Mandalika,LOP,Jakarta,Pelita Air,Scheduled
Mandalika,LOP,Surabaya,Super Air Jet,Scheduled
Mandalika,LOP,Jakarta,Super Air Jet,Scheduled
Mandalika,LOP,Denpasar,Wings Air,Scheduled
Mandalika,LOP,Denpasar,TransNusa,Scheduled
Mandalika,LOP,Jakarta,Citilink,Scheduled
Mandalika,LOP,Denpasar,Wings Air,Scheduled
Mandalika,LOP,Jakarta,TransNusa,Scheduled
Mandalika,LOP,Singapore,Scoot,Scheduled
Mandalika,LOP,Denpasar,TransNusa,Scheduled
Mandalika,LOP,Surabaya,Super Air Jet,Scheduled
Mandalika,LOP,Jakarta,Super Air Jet,Scheduled
Mandalika,LOP,Yogyakarta,Super Air Jet,Scheduled
Mandalika,LOP,Denpasar,TransNusa,Scheduled
Mandalika,LOP,Jakarta,TransNusa,Scheduled
Mandalika,LOP,Bima,Wings Air,Scheduled
Mandalika,LOP,Surabaya,Super Air Jet,Scheduled
Mandalika,LOP,Surabaya,Citilink,Canceled
Mandalika,LOP,Jakarta,Lion Air,Scheduled
Mandalika,LOP,Denpasar,Wings Air,Scheduled
Mandalika,LOP,Singapore,Scoot,Scheduled
Mandalika,LOP,Surabaya,Super Air Jet,Scheduled
Mandalika,LOP,Waingapu,Wings Air,Scheduled
Mandalika,LOP,Denpasar,Wings Air,Scheduled
Mandalika,LOP,Jakarta,Super Air Jet,Scheduled
Mandalika,LOP,Denpasar,Wings Air,Scheduled
Mandalika,LOP,Jakarta,Garuda Indonesia,Scheduled
Mandalika,LOP,Labuan Bajo,Wings Air,Scheduled
Mandalika,LOP,Surabaya,Lion Air,Scheduled
Mandalika,LOP,Sumbawa Besar,Wings Air,Scheduled
Mandalika,LOP,Surabaya,Citilink,Scheduled
Mandalika,LOP,Kuala Lumpur,Batik Air Malaysia,Scheduled
Mandalika,LOP,Jakarta,Citilink,Scheduled
Mandalika,LOP,Denpasar,Wings Air,Scheduled
Mandalika,LOP,Kuala Lumpur,AirAsia,Scheduled
Mandalika,LOP,Jakarta,Batik Air,Scheduled
Mandalika,LOP,Denpasar,Wings Air,Scheduled
Mandalika,LOP,Denpasar,Wings Air,Scheduled
Mandalika,LOP,Denpasar,TransNusa,Scheduled
Mandalika,LOP,Waingapu,Wings Air,Scheduled
Mandalika,LOP,Jakarta,Garuda Indonesia,Scheduled
